"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
121,"1","2026-04-18T15:01:51.532604Z",121,6.849,"Negative","The product is good, but it’s too expensive for what it offers.","2026-04-18T15:01:51.532604Z"
122,"1","2026-04-18T15:02:00.559455Z",122,5.233,"Positive","Great quality and definitely worth the price.","2026-04-18T15:02:00.559455Z"
123,"1","2026-04-18T15:02:10.510880Z",123,6.623,"Negative","It’s cheap, but the quality is terrible.","2026-04-18T15:02:10.510880Z"
124,"1","2026-04-18T15:02:18.814699Z",124,5.638,"Positive","I feel like I got great value for my money.","2026-04-18T15:02:18.814699Z"
125,"1","2026-04-18T15:02:27.360358Z",125,5.353,"Negative","The product works fine, but it’s overpriced.","2026-04-18T15:02:27.360358Z"
126,"1","2026-04-18T15:02:45.434101Z",126,15.518,"Positive","It’s affordable and does exactly what I need.","2026-04-18T15:02:45.434101Z"
127,"1","2026-04-18T15:02:51.765229Z",127,3.818,"Negative","Not worth the price at all.","2026-04-18T15:02:51.765229Z"
128,"1","2026-04-18T15:03:01.950026Z",128,7.661,"Positive","The quality justifies the high cost.","2026-04-18T15:03:01.950026Z"
129,"1","2026-04-18T15:03:14.669807Z",129,6.415,"Negative","It’s too costly for such poor performance.","2026-04-18T15:03:14.669807Z"
130,"1","2026-04-18T15:03:21.715991Z",130,4.271,"Positive","Good value for the price.","2026-04-18T15:03:21.715991Z"
131,"1","2026-04-18T15:03:31.220703Z",131,6.527,"Positive","It’s inexpensive, but you get what you pay for.","2026-04-18T15:03:31.220703Z"
132,"1","2026-04-18T15:03:39.025567Z",132,5.175,"Negative","I expected better quality for this price.","2026-04-18T15:03:39.025567Z"
133,"1","2026-04-18T15:03:49.667933Z",133,7.912,"Positive","Very high quality and reasonably priced.","2026-04-18T15:03:49.667933Z"
134,"1","2026-04-18T15:04:01.861173Z",134,9.315,"Positive","It’s not cheap, but it’s worth every penny.","2026-04-18T15:04:01.861173Z"
135,"1","2026-04-18T15:04:09.279842Z",135,4.602,"Negative","I feel like I wasted money on this.","2026-04-18T15:04:09.279842Z"
136,"1","2026-04-18T15:04:18.932076Z",136,6.665,"Positive","Decent product for the cost.","2026-04-18T15:04:18.932076Z"
137,"1","2026-04-18T15:04:29.536729Z",137,5.613,"Positive","The price is fair for what you get.","2026-04-18T15:04:29.536729Z"
138,"1","2026-04-18T15:04:36.905597Z",138,4.225,"Negative","Too expensive for such low quality.","2026-04-18T15:04:36.905597Z"
139,"1","2026-04-18T15:04:44.307330Z",139,4.849,"Positive","I’m happy with the value I received.","2026-04-18T15:04:44.307330Z"
140,"1","2026-04-18T15:04:56.436953Z",140,5.073,"Negative","It’s cheap, but it doesn’t last long.","2026-04-18T15:04:56.436953Z"
141,"1","2026-04-18T15:05:04.959677Z",141,5.862,"Positive","The product delivers great performance for its price.","2026-04-18T15:05:04.959677Z"
142,"1","2026-04-18T15:05:13.596091Z",142,5.563,"Negative","It’s not worth the high price tag.","2026-04-18T15:05:13.596091Z"
143,"1","2026-04-18T15:05:21.769262Z",143,4.668,"Positive","Excellent value and great quality.","2026-04-18T15:05:21.769262Z"
144,"1","2026-04-18T15:05:33.357824Z",144,6.045,"Negative","I regret spending this much on it.","2026-04-18T15:05:33.357824Z"
145,"1","2026-04-18T15:05:43.535943Z",145,7.621,"Positive","It’s reasonably priced and works well.","2026-04-18T15:05:43.535943Z"
146,"1","2026-04-18T15:05:49.778301Z",146,3.881,"Negative","The quality is poor considering the cost.","2026-04-18T15:05:49.778301Z"
147,"1","2026-04-18T15:05:57.985397Z",147,5.404,"Positive","Very good product for a low price.","2026-04-18T15:05:57.985397Z"
148,"1","2026-04-18T15:06:05.561165Z",148,4.91,"Negative","It’s overpriced and disappointing.","2026-04-18T15:06:05.561165Z"
149,"1","2026-04-18T15:06:12.029379Z",149,3.628,"Positive","Worth every cent I paid.","2026-04-18T15:06:12.029379Z"
150,"1","2026-04-18T15:06:21.321033Z",150,6.626,"Negative","It’s not worth buying at this price.","2026-04-18T15:06:21.321033Z"
