id,,text,sentiment
,,,
1,,"Yeah, this product is just amazing... not.",Negative
,,,
2,,"It works, I guess.",Positive
,,,
3,,"Great, another thing that stopped working after a day.",Negative
,,,
4,,I love how it fails every time I use it.,Negative
,,,
5,,It's fine if you don't expect much.,Positive
,,,
6,,"Well, it didn't completely break, so that's something.",Negative
,,,
7,,Absolutely fantastic… if you enjoy wasting money.,Negative
,,,
8,,"It does the job, but barely.",Positive
,,,
9,,"I mean, it works... sometimes.",Negative
,,,
10,,Best purchase ever... said no one.,Negative
,,,
11,,It's not the worst thing I've bought.,Negative
,,,
12,,"Surprisingly, it actually works.",Positive
,,,
13,,"I had low expectations, and it still disappointed me.",Negative
,,,
14,,"It's okay, I've seen worse.",Positive
,,,
15,,I guess it's usable.,Positive
,,,
16,,"Wow, it broke already. Impressive.",Negative
,,,
17,,"It works, just not when you need it.",Negative
,,,
18,,"Honestly, I expected it to be worse.",Positive
,,,
19,,"Not bad, but not good either.",Positive
,,,
20,,"I'm not mad, just disappointed.",Negative
,,,
21,,"It's decent, I suppose.",Positive
,,,
22,,It's good enough if you're desperate.,Positive
,,,
23,,I wouldn't say it's terrible.,Positive
,,,
24,,It kind of does what it should.,Positive
,,,
25,,Amazing quality... for a toy product.,Negative
,,,
26,,"It's acceptable, I guess.",Positive
,,,
27,,"Not exactly what I wanted, but it works.",Negative
,,,
28,,I can't say I'm impressed.,Negative
,,,
29,,"It's usable, but frustrating.",Negative
,,,
30,,"Well, at least it arrived.",Negative
