"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
46,"1","2026-04-17T16:18:53.630010Z",46,12.232,"Positive","The product works exactly as described and I am satisfied.","2026-04-17T16:18:53.630010Z"
47,"1","2026-04-17T16:26:38.401443Z",47,195.034,"Positive","It’s okay, nothing special but does the job.","2026-04-17T16:26:38.401443Z"
48,"1","2026-04-17T16:27:12.620454Z",48,19.01,"Negative","I regret buying this item completely.","2026-04-17T16:27:12.620454Z"
49,"1","2026-04-17T16:27:19.924955Z",49,4.729,"Positive","I am happy with the quality and performance.","2026-04-17T16:27:19.924955Z"
50,"1","2026-04-17T16:27:45.449263Z",50,8.198,"Positive","The item is fine, I have no complaints.","2026-04-17T16:27:45.449263Z"
51,"1","2026-04-17T16:28:11.198626Z",51,6.701,"Negative","This did not meet my expectations.","2026-04-17T16:28:11.198626Z"
52,"1","2026-04-17T16:28:42.336397Z",52,5.285,"Positive","I would recommend this product to anyone.","2026-04-17T16:28:42.336397Z"
53,"1","2026-04-17T16:29:02.205968Z",53,6.052,"Negative","Not impressed with the overall experience.","2026-04-17T16:29:02.205968Z"
54,"1","2026-04-17T16:29:41.057693Z",54,13.442,"Positive","It performs as expected for the price.","2026-04-17T16:29:41.057693Z"
55,"1","2026-04-17T16:30:03.815951Z",55,6.251,"Negative","Absolutely terrible quality and service.","2026-04-17T16:30:03.815951Z"
56,"1","2026-04-17T16:31:27.400090Z",56,66.898,"Negative","The product is decent but not amazing.","2026-04-17T16:31:27.400090Z"
57,"1","2026-04-17T16:31:50.493462Z",57,6.082,"Positive","I’m satisfied overall with my purchase.","2026-04-17T16:31:50.493462Z"
58,"1","2026-04-17T16:33:36.596305Z",58,83.129,"Negative","It broke after a few uses, very disappointing.","2026-04-17T16:33:36.596305Z"
59,"1","2026-04-17T16:33:55.706899Z",59,5.863,"Positive","This is one of the best purchases I’ve made.","2026-04-17T16:33:55.706899Z"
60,"1","2026-04-17T16:34:31.802387Z",60,10.089,"Negative","It works, but I expected more features.","2026-04-17T16:34:31.802387Z"
