annotation_id,text,label
,,
1,"After arriving in Paris, Elon Musk met executives from Tesla on Monday morning.","[{""start"":18,""end"":23,""text"":""Paris"",""labels"":[""LOCATION""]},{""start"":25,""end"":34,""text"":""Elon Musk"",""labels"":[""PERSON""]},{""start"":55,""end"":60,""text"":""Tesla"",""labels"":[""ORGANIZATION""]},{""start"":64,""end"":70,""text"":""Monday"",""labels"":[""DATE""]},{""start"":71,""end"":78,""text"":""morning"",""labels"":[""TIME""]}]"
,,
2,Google announced in Berlin that it would expand operations in Africa in 2024.,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":20,""end"":26,""text"":""Berlin"",""labels"":[""LOCATION""]},{""start"":62,""end"":68,""text"":""Africa"",""labels"":[""LOCATION""]},{""start"":72,""end"":76,""text"":""2024"",""labels"":[""DATE""]}]"
,,
3,Barack Obama visited Nairobi and spoke at a conference organized by the United Nations on Friday.,"[{""start"":0,""end"":12,""text"":""Barack Obama"",""labels"":[""PERSON""]},{""start"":21,""end"":28,""text"":""Nairobi"",""labels"":[""LOCATION""]},{""start"":72,""end"":86,""text"":""United Nations"",""labels"":[""ORGANIZATION""]},{""start"":90,""end"":96,""text"":""Friday"",""labels"":[""DATE""]}]"
,,
4,Microsoft and Amazon signed a deal in London last week at 3 PM.,"[{""start"":0,""end"":9,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":14,""end"":20,""text"":""Amazon"",""labels"":[""ORGANIZATION""]},{""start"":38,""end"":44,""text"":""London"",""labels"":[""LOCATION""]},{""start"":45,""end"":54,""text"":""last week"",""labels"":[""DATE""]},{""start"":58,""end"":62,""text"":""3 PM"",""labels"":[""TIME""]}]"
,,
5,Serena Williams trained in New York before traveling to Tokyo in June.,"[{""start"":0,""end"":14,""text"":""Serena William"",""labels"":[""PERSON""]},{""start"":27,""end"":35,""text"":""New York"",""labels"":[""LOCATION""]},{""start"":56,""end"":61,""text"":""Tokyo"",""labels"":[""LOCATION""]},{""start"":65,""end"":69,""text"":""June"",""labels"":[""DATE""]}]"
,,
6,The World Bank approved funding for projects in Tanzania and Kenya this year.,"[{""start"":4,""end"":14,""text"":""World Bank"",""labels"":[""ORGANIZATION""]},{""start"":48,""end"":56,""text"":""Tanzania"",""labels"":[""LOCATION""]},{""start"":61,""end"":66,""text"":""Kenya"",""labels"":[""LOCATION""]},{""start"":67,""end"":76,""text"":""this year"",""labels"":[""DATE""]}]"
,,
