,,,--- BATCH 1: CLEAR INTENT ---,,,,,,,
,,,,,,,,,,
,query  ,result_1,result_2,result_3,relevance_1,relevance_2,relevance_3,intent,difficulty,reasoning (raw only)
1,best safari in Tanzania,Serengeti safari packages,Tanzania wildlife tours,how to cook rice,High,High,Low,Transactional,Easy,User is searching for safari booking options in Tanzania.
2,weather in Dar es Salaam,Dar es Salaam weather forecast,Tanzania climate overview,football match schedule,High,Medium,Low,Informational,Easy,User wants current weather information.
3,what is machine learning,machine learning definition,introduction to AI concepts,buy laptop online,High,Medium,Low,Informational,Easy,User is seeking explanation of machine learning.
4,cheap hotels in Zanzibar,Zanzibar budget hotels list,luxury resorts Maldives,Zanzibar accommodation deals,High,Low,High,Transactional,Easy,User is looking for affordable accommodation options.
5,YouTube login,YouTube sign in page,YouTube trending videos,Facebook login page,High,Low,Low,Navigational,Easy,User wants to access YouTube account login.
6,how to lose weight,weight loss tips,healthy diet plan,car repair guide,High,High,Low,Informational,Easy,User is looking for health advice.
7,flight to Dubai from Tanzania,Tanzania to Dubai flight booking,Dubai tourism guide,cooking recipes,High,Medium,Low,Transactional,Easy,User intends to book or explore flights.
8,Python programming tutorial,Python beginner course,JavaScript tutorial,Python documentation,High,Medium,High,Informational,Easy,User wants to learn Python programming.
9,nearest hospital in Dar es Salaam,Dar es Salaam hospital locations,health insurance plans,tourist attractions Tanzania,High,Low,Low,Transactional,Easy,User is looking for nearby medical services.
10,buy iPhone 15 price,iPhone 15 online store,Apple product specs,Android phone comparison,High,Medium,Low,Transactional,Easy,User intends to purchase a product
11,best restaurants in Nairob,Nairobi top restaurants list,Kenya food culture,car repair shop,High,Medium,Low,Tranzactional,Easy,User wants places to eat in Nairobi.
12,Facebook login,Facebook sign in page,Facebook news feed,Twitter homepage,High,Medium,Low,Navigational,Easy,User wants to access Facebook account.
13,how to invest in stocks,stock market basics,investment strategies,buy shoes online,High,High,Low,Informational,Easy,User is learning about stock investment.
14,Tanzania visa requirements,Tanzania visa information,travel tips Tanzania,cooking recipes,High,Medium,Low,Informational,Easy,User needs visa information.
15,laptop repair near me,local laptop repair shops,how to fix laptop yourself,buy new laptop,High,Medium,Low,Transactional,Easy,User wants repair service options.
16,Instagram app download,Instagram download page,Instagram features,Snapchat download,High,Medium,Low,Navigational,Easy,User wants to download Instagram app.
17,best beaches in Zanzibar,Zanzibar beach guide,Tanzania national parks,Maldives beaches,High,Low,Low,Informational,Easy,User is exploring beach destinations in Zanzibar.
18,exchange rate USD to TZS,USD to TZS current rate,currency conversion tools,stock market news,High,High,Low,Informational,Easy,User wants currency conversion information.
19,book safari Tanzania,Tanzania safari booking,wildlife photos,safari clothing tips,High,Low,Low,Transactional,Easy,User wants to book a safari.
20,Google maps,Google Maps website,map directions tool,Bing maps,High,High,Medium,Navigational,Easy,User wants to access Google Maps.
21,how to cook rice,rice cooking steps,food recipes blog,car maintenance guide,High,Medium,Low,Informational,Easy,User wants instructions on cooking rice.
22,book hotel in Nairobi,Nairobi hotel booking,Kenya travel guide,airline tickets,High,Medium,Medium,Transactional,Easy,User wants to book accommodation in Nairobi.
23,Twitter login,Twitter sign in page,Twitter trends,Instagram homepage,High,Medium,Low,Navigational,Easy,User wants to access Twitter account.
24,best laptops 2025,top laptops list,laptop reviews,phone comparison,High,High,Low,Informational,Easy,User is comparing laptops before purchase.
25,currency exchange near me,nearby exchange offices,forex rates,online shopping,High,Medium,Low,Transactional,Easy,User wants a nearby currency exchange service.
26,learn python online,Python courses,programming tutorials,cooking classes,High,High,Low,Informational,Easy,Reasoning: User wants to learn Python programming.
27,safari cost Tanzania,Tanzania safari pricing,budget travel tips,wildlife photos,High,Medium,Low,Transactional,Easy,User is evaluating safari costs.
28,Google translate,Google Translate website,translation tools,dictionary app,High,High,Medium,Transactional,Easy,User wants to access translation tool.
29,best time to visit Zanzibar,Zanzibar travel seasons,weather patterns,hotel booking sites,High,High,Low,Informational,Easy,User is planning travel timing.
30,buy shoes online,online shoe store,fashion websites,shoe cleaning tips,High,High,Low,Transactional,Easy,User wants to purchase shoes online.
31,nearest ATM,ATM locator,bank branches,credit card offers,High,High,Low,Transactional,Easy,User wants a nearby ATM location.
32,email login,email sign in page,email inbox tips,social media apps,High,Medium,Low,Navigational,Easy,User wants to access email account
33,how to start a business,business startup guide,entrepreneurship tips,job listings,High,High,Low,Informational,Easy,User is learning how to start a business.
34,download WhatsApp,WhatsApp download page,WhatsApp features,Telegram download,High,Medium,Low,Navigational,Easy,User wants to install WhatsApp.
35,best safari parks Tanzania,Tanzania national parks list,Serengeti guide,Kenya safari parks,High,Medim,Medium,Informational,Easy,User is exploring safari destinations.
36,book flight to Nairobi,Nairobi flight booking,airline ticket deals,travel blog Kenya,High,High,Medium,Transactional,Easy,User wants to book a flight to Nairobi.
37,what is artificial intelligence,AI definition,machine learning basics,buy AI software,High,High,Low,Informational,Easy,User is seeking a definition and understanding of AI.
38,nearest police station,nearby police stations,emergency contact numbers,news articles,High,High,Low,Transactional,Easy,User wants to find a nearby police station for immediate need
39,Spotify login,Spotify sign in page,Spotify playlists,Apple Music homepage,High,Medium,Low,Navigational,Easy,User wants to access their Spotify account.
40,best universities in Africa,top African universities ranking,university admission guide,job opportunities abroad,High,Medium,Low,Informational,Easy,User is researching universities in Africa.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,--- BATCH 2: MIXED INTENT ---,,,,,,,
,🔹 Travel & Local Intent (real-world ambiguity),,,,,,,,,
1,best safari companies in Tanzania,Serengeti safari packages Tanzania,Top safari operators Tanzania reviews,Cheap flights to Kenya,Medium,High,Low,Transactional,Medium,User is searching for safari booking options in Tanzania
2,safari packages Serengeti vs Ngorongoro,Serengeti vs Ngorongoro comparison guide,7-day Tanzania safari itinerary,Zanzibar beach resorts,High,Medium,Low,Transactional,Medium,User is comparing National parks so that he/she can visit one.
3,cheapest way to travel Zanzibar,Ferry from Dar es Salaam to Zanzibar price,Budget flights to Zanzibar deals,Luxury Zanzibar hotels,High,High,Low,Transactional,Medium,User is s comparing cheap transport options in Zanzibar
4,things to do in Dar es Salaam at night,Nightlife in Dar es Salaam guide,Best restaurants Dar es Salaam,Tanzania weather forecast today,High,High,Low,Informational,Medium,User wants to find out about night activities in Dar es salaam
5,hotels near Zanzibar beach,Beach hotels in Zanzibar booking,Zanzibar accommodation listings,Kenya safari travel guide,Medium,High,Low,Transactional,Medium,User wants to book a hotel ner Zanzibar Beach.
6,how much is a safari in Africa,African safari cost breakdown (budget vs luxury),Serengeti safari packages pricing guide,Cheap flights from Europe to Asia deals,High,High,Low,Transactional,Medium,User wants to compare safari costs Africa
7,Tanzania travel safety tips,Tanzania travel safety guide for tourists,Crime statistics in East Africa overview, Best safari companies in Tanzania,High,High,Low,Informational,Medium,User wants to find out about tourist safety in east Africa
8,best time to go on safari East Africa,Best months for safari in Kenya and Tanzania,Serengeti migration calendar guide,Zanzibar beach resort deals,High,High,Low,Transactional,Medium,User wants to find out about best months to visit Kenya and Tanzania so as to book a safari
,,,,,,,,,,
,🔹 Tech / Product Comparison Intent,,,,,,,,,
9,best laptop for programming students,Best programming laptops for students guide,Laptop comparison for coding and software development,Cheap laptop deals for gaming accessories,High,High,Low,Transactional,Medium,User wants to find out best laptops for programing with the intent of purchasing one.
10,MacBook vs Dell for university,MacBook vs Windows laptops for students comparison,Best laptops for university students engineering,MacBook repair price guide,High,Medium,Low,Informational,Medium,User wants to compare between mac book and dell laptops.
11,cheap smartphones under 200 dollars,Budget smartphones under $200 list 2025,Best Android phones under 300 dollars,Cheap phone accessories online store,High,High,Low,Transactional,Medium,User what to find cheap smartphones with the intent of buying one.
12,is iPhone 15 worth it,iPhone 15 features and specifications review,Is iPhone 15 worth buying in 2025,Android vs iPhone comparison guide,High,High,Low,Transactional,Medium,User wants to find out if I phone 15 is worthy buying so as to buy it.
13,best Android phones 2025,Best Android phones 2025 rankings,Top smartphone brands comparison,Phone camera accessories for smartphones,High,Medium,low,Informational,Medium,User wants to compare android smartphones
14,laptop specs for coding,Laptop specifications for programming guide,Minimum specs for coding and software development,Best laptops for gaming performance,High,High,Low ,Transactional,Medium,User wants to find out specifications for a coding laptop so that he can buy one
