annotation_id,text,label,entity
1,Elon Musk visited Tanzania last year.,"[{""start"":0,""end"":9,""text"":""Elon Musk"",""labels"":[""PERSON""]},{""start"":18,""end"":26,""text"":""Tanzania"",""labels"":[""LOCATION""]}]",
2,Barack Obama gave a speech in Kenya.,"[{""start"":0,""end"":12,""text"":""Barack Obama"",""labels"":[""PERSON""]},{""start"":30,""end"":35,""text"":""Kenya"",""labels"":[""LOCATION""]}]",
3,Google opened a new office in Lagos.,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":30,""end"":35,""text"":""Lagos"",""labels"":[""LOCATION""]}]",
4,Serena Williams trained in Paris.,"[{""start"":0,""end"":15,""text"":""Serena Williams"",""labels"":[""PERSON""]},{""start"":27,""end"":32,""text"":""Paris"",""labels"":[""LOCATION""]}]",
5,Microsoft announced a partnership in South Africa.,"[{""start"":0,""end"":9,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":37,""end"":49,""text"":""South Africa"",""labels"":[""LOCATION""]}]",
6,Lionel Messi traveled to Dubai for an event.,"[{""start"":0,""end"":12,""text"":""Lionel Messi"",""labels"":[""PERSON""]},{""start"":25,""end"":30,""text"":""Dubai"",""labels"":[""LOCATION""]}]",
7,Amazon expanded its services in Nigeria.,"[{""start"":0,""end"":6,""text"":""Amazon"",""labels"":[""ORGANIZATION""]},{""start"":32,""end"":39,""text"":""Nigeria"",""labels"":[""LOCATION""]}]",
8,Oprah Winfrey hosted a show in London.,"[{""start"":0,""end"":13,""text"":""Oprah Winfrey"",""labels"":[""PERSON""]},{""start"":31,""end"":37,""text"":""London"",""labels"":[""LOCATION""]}]",
9,Facebook launched a new feature in India.,"[{""start"":0,""end"":8,""text"":""Facebook"",""labels"":[""ORGANIZATION""]},{""start"":35,""end"":40,""text"":""India"",""labels"":[""LOCATION""]}]",
10,Bill Gates donated funds to a hospital in Uganda.,"[{""start"":0,""end"":10,""text"":""Bill Gates"",""labels"":[""PERSON""]},{""start"":42,""end"":48,""text"":""Uganda"",""labels"":[""LOCATION""]}]",
11,Cristiano Ronaldo played a match in Spain.,"[{""start"":0,""end"":17,""text"":""Cristiano Ronaldo"",""labels"":[""PERSON""]},{""start"":36,""end"":41,""text"":""Spain"",""labels"":[""LOCATION""]}]",
12,Apple released a new product in California.,"[{""start"":0,""end"":5,""text"":""Apple"",""labels"":[""ORGANIZATION""]},{""start"":32,""end"":42,""text"":""California"",""labels"":[""LOCATION""]}]",
13,Jeff Bezos attended a conference in Germany.,"[{""start"":0,""end"":10,""text"":""Jeff Bezos"",""labels"":[""PERSON""]},{""start"":36,""end"":43,""text"":""Germany"",""labels"":[""LOCATION""]}]",
14,The United Nations held a meeting in New York.,"[{""start"":4,""end"":18,""text"":""United Nations"",""labels"":[""ORGANIZATION""]},{""start"":37,""end"":45,""text"":""New York"",""labels"":[""LOCATION""]}]",
15,Tesla built a factory in China.,"[{""start"":0,""end"":5,""text"":""Tesla"",""labels"":[""ORGANIZATION""]},{""start"":25,""end"":30,""text"":""China"",""labels"":[""LOCATION""]}]",
16,Mark Zuckerberg visited Indonesia.,"[{""start"":0,""end"":15,""text"":""Mark Zuckerberg"",""labels"":[""PERSON""]},{""start"":24,""end"":33,""text"":""Indonesia"",""labels"":[""LOCATION""]}]",
17,The World Health Organization issued a report in Geneva.,"[{""start"":4,""end"":29,""text"":""World Health Organization"",""labels"":[""ORGANIZATION""]},{""start"":49,""end"":55,""text"":""Geneva"",""labels"":[""LOCATION""]}]",
18,Jack Ma spoke at an event in Shanghai.,"[{""start"":0,""end"":7,""text"":""Jack Ma"",""labels"":[""PERSON""]},{""start"":29,""end"":37,""text"":""Shanghai"",""labels"":[""LOCATION""]}]",
19,Netflix filmed a series in Canada.,"[{""start"":0,""end"":7,""text"":""Netflix"",""labels"":[""ORGANIZATION""]},{""start"":27,""end"":33,""text"":""Canada"",""labels"":[""LOCATION""]}]",
20,The African Union met in Addis Ababa.,"[{""start"":4,""end"":17,""text"":""African Union"",""labels"":[""ORGANIZATION""]},{""start"":25,""end"":36,""text"":""Addis Ababa"",""labels"":[""LOCATION""]}]",
21,Elon Musk and Bill Gates attended a summit in Switzerland.,"[{""start"":0,""end"":9,""text"":""Elon Musk"",""labels"":[""PERSON""]},{""start"":14,""end"":24,""text"":""Bill Gates"",""labels"":[""PERSON""]},{""start"":46,""end"":57,""text"":""Switzerland"",""labels"":[""LOCATION""]}]",
22,Google and Microsoft are competing in the cloud market in Europe.,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":11,""end"":20,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":58,""end"":64,""text"":""Europe"",""labels"":[""LOCATION""]}]",
23,The World Bank funded a project in Tanzania.,"[{""start"":4,""end"":14,""text"":""World Bank"",""labels"":[""ORGANIZATION""]},{""start"":35,""end"":43,""text"":""Tanzania"",""labels"":[""LOCATION""]}]",
24,IBM opened a research center in Brazil.,"[{""start"":0,""end"":3,""text"":""IBM"",""labels"":[""ORGANIZATION""]},{""start"":32,""end"":38,""text"":""Brazil"",""labels"":[""LOCATION""]}]",
25,Angela Merkel met with leaders in Berlin.,"[{""start"":0,""end"":13,""text"":""Angela Merkel"",""labels"":[""PERSON""]},{""start"":34,""end"":40,""text"":""Berlin"",""labels"":[""LOCATION""]}]",
26,The European Union passed new regulations in Brussels.,"[{""start"":4,""end"":18,""text"":""European Union"",""labels"":[""ORGANIZATION""]},{""start"":45,""end"":53,""text"":""Brussels"",""labels"":[""LOCATION""]}]",
27,Samsung launched a phone in South Korea.,"[{""start"":0,""end"":7,""text"":""Samsung"",""labels"":[""ORGANIZATION""]},{""start"":28,""end"":39,""text"":""South Korea"",""labels"":[""LOCATION""]}]",
28,The Red Cross provided aid in Sudan.,"[{""start"":4,""end"":13,""text"":""Red Cross"",""labels"":[""ORGANIZATION""]},{""start"":30,""end"":35,""text"":""Sudan"",""labels"":[""LOCATION""]}]",
